,sample_id,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,description,data_processing,platform_id,contact_name,contact_department,contact_institute,contact_address,contact_city,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count
0,GSM4710450,RNA-Seq Dev Cor/Conj 10PCW 14615,GSM4710450,Public on Apr 19 2021,Aug 04 2020,Apr 19 2021,SRA,1,Cornea/Conjunctiva,Homo sapiens,9606,developmental stage: 10 PCW,polyA RNA,"Cornea-conjunctival tissue was excised from donated eyes and dissociated to single cells using a multi tissue dissociation kit (Miltenyi Biotec). Dissociation time varied from 15 to 45 minutes depending on the age of the tissue and a gentleMACS Dissociator (Miltenyi Biotec) was used to aid dissociation of the adult tissue. | For scRNA-Seq libraries were generated using the Chromium Single Cell 3′ Library & Gel Bead Kit, version 3 (10x Genomics). For scATAC-Seq libraries were generated using the Chromium Single Cell ATAC Library & Gel Bead Kit, version 1 (10x Genomics). | RNA-Seq & ATAC-Seq",Dev Cor/Conj 10PCW 14615 | counts_10PCW.txt,"scRNAseq samples were de-multiplexed and aligned to human reference genome GRCh38 before being quantified using CellRanger version 3.0 | Quality control filtering was applied to remove any cells where fewer than 1000 reads or 500 genes or greater than 15% mitochondrial reads. | CellRanger version 1.2  was used to process the ATACseq data.  Cellranger-atac agrr module was used to create a set of shared peaks present across all four samples. | data was filtered using thresholds to remove cells where the number of fragments within peaks was less than 1000 or greater than 50000 | or with a blacklist ration of greater than 5% or a nucleosome signal of greater than 10 and a TTS enrichment of  , greater than 2 | Genome_build: GRCh38 | Supplementary_files_format_and_content: The filtered counts from both experiments are provided as a csv file.",GPL24676,"Majlinda,,Lako",Institute of Genetic Medicine and Institute for Ageing,Newcastle University,"International Centre for Life, Central Parkway",Newcastle Upon Tyne,NE1 3 BZ,United Kingdom,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15729615 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8884952,NONE,GSE155683,0
1,GSM4710451,RNA-Seq Dev Cor/Conj 10PCW 14849,GSM4710451,Public on Apr 19 2021,Aug 04 2020,Apr 19 2021,SRA,1,Cornea/Conjunctiva,Homo sapiens,9606,developmental stage: 10 PCW,polyA RNA,"Cornea-conjunctival tissue was excised from donated eyes and dissociated to single cells using a multi tissue dissociation kit (Miltenyi Biotec). Dissociation time varied from 15 to 45 minutes depending on the age of the tissue and a gentleMACS Dissociator (Miltenyi Biotec) was used to aid dissociation of the adult tissue. | For scRNA-Seq libraries were generated using the Chromium Single Cell 3′ Library & Gel Bead Kit, version 3 (10x Genomics). For scATAC-Seq libraries were generated using the Chromium Single Cell ATAC Library & Gel Bead Kit, version 1 (10x Genomics). | RNA-Seq & ATAC-Seq",Dev Cor/Conj 10PCW 14849 | counts_10PCW.txt,"scRNAseq samples were de-multiplexed and aligned to human reference genome GRCh38 before being quantified using CellRanger version 3.0 | Quality control filtering was applied to remove any cells where fewer than 1000 reads or 500 genes or greater than 15% mitochondrial reads. | CellRanger version 1.2  was used to process the ATACseq data.  Cellranger-atac agrr module was used to create a set of shared peaks present across all four samples. | data was filtered using thresholds to remove cells where the number of fragments within peaks was less than 1000 or greater than 50000 | or with a blacklist ration of greater than 5% or a nucleosome signal of greater than 10 and a TTS enrichment of  , greater than 2 | Genome_build: GRCh38 | Supplementary_files_format_and_content: The filtered counts from both experiments are provided as a csv file.",GPL24676,"Majlinda,,Lako",Institute of Genetic Medicine and Institute for Ageing,Newcastle University,"International Centre for Life, Central Parkway",Newcastle Upon Tyne,NE1 3 BZ,United Kingdom,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15729614 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8884953,NONE,GSE155683,0
2,GSM4710452,RNA-Seq Dev Cor/Conj 12PCW 14823,GSM4710452,Public on Apr 19 2021,Aug 04 2020,Apr 19 2021,SRA,1,Cornea/Conjunctiva,Homo sapiens,9606,developmental stage: 12 PCW,polyA RNA,"Cornea-conjunctival tissue was excised from donated eyes and dissociated to single cells using a multi tissue dissociation kit (Miltenyi Biotec). Dissociation time varied from 15 to 45 minutes depending on the age of the tissue and a gentleMACS Dissociator (Miltenyi Biotec) was used to aid dissociation of the adult tissue. | For scRNA-Seq libraries were generated using the Chromium Single Cell 3′ Library & Gel Bead Kit, version 3 (10x Genomics). For scATAC-Seq libraries were generated using the Chromium Single Cell ATAC Library & Gel Bead Kit, version 1 (10x Genomics). | RNA-Seq & ATAC-Seq",Dev Cor/Conj 12PCW 14823 | counts_12PCW.txt,"scRNAseq samples were de-multiplexed and aligned to human reference genome GRCh38 before being quantified using CellRanger version 3.0 | Quality control filtering was applied to remove any cells where fewer than 1000 reads or 500 genes or greater than 15% mitochondrial reads. | CellRanger version 1.2  was used to process the ATACseq data.  Cellranger-atac agrr module was used to create a set of shared peaks present across all four samples. | data was filtered using thresholds to remove cells where the number of fragments within peaks was less than 1000 or greater than 50000 | or with a blacklist ration of greater than 5% or a nucleosome signal of greater than 10 and a TTS enrichment of  , greater than 2 | Genome_build: GRCh38 | Supplementary_files_format_and_content: The filtered counts from both experiments are provided as a csv file.",GPL24676,"Majlinda,,Lako",Institute of Genetic Medicine and Institute for Ageing,Newcastle University,"International Centre for Life, Central Parkway",Newcastle Upon Tyne,NE1 3 BZ,United Kingdom,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15729613 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8884954,NONE,GSE155683,0
3,GSM4710453,RNA-Seq Dev Cor/Conj 12PCW 15192,GSM4710453,Public on Apr 19 2021,Aug 04 2020,Apr 19 2021,SRA,1,Cornea/Conjunctiva,Homo sapiens,9606,developmental stage: 12 PCW,polyA RNA,"Cornea-conjunctival tissue was excised from donated eyes and dissociated to single cells using a multi tissue dissociation kit (Miltenyi Biotec). Dissociation time varied from 15 to 45 minutes depending on the age of the tissue and a gentleMACS Dissociator (Miltenyi Biotec) was used to aid dissociation of the adult tissue. | For scRNA-Seq libraries were generated using the Chromium Single Cell 3′ Library & Gel Bead Kit, version 3 (10x Genomics). For scATAC-Seq libraries were generated using the Chromium Single Cell ATAC Library & Gel Bead Kit, version 1 (10x Genomics). | RNA-Seq & ATAC-Seq",Dev Cor/Conj 12PCW 15192 | counts_12PCW.txt,"scRNAseq samples were de-multiplexed and aligned to human reference genome GRCh38 before being quantified using CellRanger version 3.0 | Quality control filtering was applied to remove any cells where fewer than 1000 reads or 500 genes or greater than 15% mitochondrial reads. | CellRanger version 1.2  was used to process the ATACseq data.  Cellranger-atac agrr module was used to create a set of shared peaks present across all four samples. | data was filtered using thresholds to remove cells where the number of fragments within peaks was less than 1000 or greater than 50000 | or with a blacklist ration of greater than 5% or a nucleosome signal of greater than 10 and a TTS enrichment of  , greater than 2 | Genome_build: GRCh38 | Supplementary_files_format_and_content: The filtered counts from both experiments are provided as a csv file.",GPL24676,"Majlinda,,Lako",Institute of Genetic Medicine and Institute for Ageing,Newcastle University,"International Centre for Life, Central Parkway",Newcastle Upon Tyne,NE1 3 BZ,United Kingdom,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15729612 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8884955,NONE,GSE155683,0
4,GSM4710454,RNA-Seq Dev Cor/Conj 12PCW 15209,GSM4710454,Public on Apr 19 2021,Aug 04 2020,Apr 19 2021,SRA,1,Cornea/Conjunctiva,Homo sapiens,9606,developmental stage: 12 PCW,polyA RNA,"Cornea-conjunctival tissue was excised from donated eyes and dissociated to single cells using a multi tissue dissociation kit (Miltenyi Biotec). Dissociation time varied from 15 to 45 minutes depending on the age of the tissue and a gentleMACS Dissociator (Miltenyi Biotec) was used to aid dissociation of the adult tissue. | For scRNA-Seq libraries were generated using the Chromium Single Cell 3′ Library & Gel Bead Kit, version 3 (10x Genomics). For scATAC-Seq libraries were generated using the Chromium Single Cell ATAC Library & Gel Bead Kit, version 1 (10x Genomics). | RNA-Seq & ATAC-Seq",Dev Cor/Conj 12PCW 15209 | counts_12PCW.txt,"scRNAseq samples were de-multiplexed and aligned to human reference genome GRCh38 before being quantified using CellRanger version 3.0 | Quality control filtering was applied to remove any cells where fewer than 1000 reads or 500 genes or greater than 15% mitochondrial reads. | CellRanger version 1.2  was used to process the ATACseq data.  Cellranger-atac agrr module was used to create a set of shared peaks present across all four samples. | data was filtered using thresholds to remove cells where the number of fragments within peaks was less than 1000 or greater than 50000 | or with a blacklist ration of greater than 5% or a nucleosome signal of greater than 10 and a TTS enrichment of  , greater than 2 | Genome_build: GRCh38 | Supplementary_files_format_and_content: The filtered counts from both experiments are provided as a csv file.",GPL24676,"Majlinda,,Lako",Institute of Genetic Medicine and Institute for Ageing,Newcastle University,"International Centre for Life, Central Parkway",Newcastle Upon Tyne,NE1 3 BZ,United Kingdom,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15729611 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8884956,NONE,GSE155683,0
5,GSM4710455,RNA-Seq Dev Cor/Conj 12PCW 15210,GSM4710455,Public on Apr 19 2021,Aug 04 2020,Apr 19 2021,SRA,1,Cornea/Conjunctiva,Homo sapiens,9606,developmental stage: 12 PCW,polyA RNA,"Cornea-conjunctival tissue was excised from donated eyes and dissociated to single cells using a multi tissue dissociation kit (Miltenyi Biotec). Dissociation time varied from 15 to 45 minutes depending on the age of the tissue and a gentleMACS Dissociator (Miltenyi Biotec) was used to aid dissociation of the adult tissue. | For scRNA-Seq libraries were generated using the Chromium Single Cell 3′ Library & Gel Bead Kit, version 3 (10x Genomics). For scATAC-Seq libraries were generated using the Chromium Single Cell ATAC Library & Gel Bead Kit, version 1 (10x Genomics). | RNA-Seq & ATAC-Seq",Dev Cor/Conj 12PCW 15210 | counts_12PCW.txt,"scRNAseq samples were de-multiplexed and aligned to human reference genome GRCh38 before being quantified using CellRanger version 3.0 | Quality control filtering was applied to remove any cells where fewer than 1000 reads or 500 genes or greater than 15% mitochondrial reads. | CellRanger version 1.2  was used to process the ATACseq data.  Cellranger-atac agrr module was used to create a set of shared peaks present across all four samples. | data was filtered using thresholds to remove cells where the number of fragments within peaks was less than 1000 or greater than 50000 | or with a blacklist ration of greater than 5% or a nucleosome signal of greater than 10 and a TTS enrichment of  , greater than 2 | Genome_build: GRCh38 | Supplementary_files_format_and_content: The filtered counts from both experiments are provided as a csv file.",GPL24676,"Majlinda,,Lako",Institute of Genetic Medicine and Institute for Ageing,Newcastle University,"International Centre for Life, Central Parkway",Newcastle Upon Tyne,NE1 3 BZ,United Kingdom,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15729610 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8884957,NONE,GSE155683,0
6,GSM4710456,RNA-Seq Dev Cor/Conj 13PCW 15176,GSM4710456,Public on Apr 19 2021,Aug 04 2020,Apr 19 2021,SRA,1,Cornea/Conjunctiva,Homo sapiens,9606,developmental stage: 13 PCW,polyA RNA,"Cornea-conjunctival tissue was excised from donated eyes and dissociated to single cells using a multi tissue dissociation kit (Miltenyi Biotec). Dissociation time varied from 15 to 45 minutes depending on the age of the tissue and a gentleMACS Dissociator (Miltenyi Biotec) was used to aid dissociation of the adult tissue. | For scRNA-Seq libraries were generated using the Chromium Single Cell 3′ Library & Gel Bead Kit, version 3 (10x Genomics). For scATAC-Seq libraries were generated using the Chromium Single Cell ATAC Library & Gel Bead Kit, version 1 (10x Genomics). | RNA-Seq & ATAC-Seq",Dev Cor/Conj 13PCW 15176 | counts_12PCW.txt,"scRNAseq samples were de-multiplexed and aligned to human reference genome GRCh38 before being quantified using CellRanger version 3.0 | Quality control filtering was applied to remove any cells where fewer than 1000 reads or 500 genes or greater than 15% mitochondrial reads. | CellRanger version 1.2  was used to process the ATACseq data.  Cellranger-atac agrr module was used to create a set of shared peaks present across all four samples. | data was filtered using thresholds to remove cells where the number of fragments within peaks was less than 1000 or greater than 50000 | or with a blacklist ration of greater than 5% or a nucleosome signal of greater than 10 and a TTS enrichment of  , greater than 2 | Genome_build: GRCh38 | Supplementary_files_format_and_content: The filtered counts from both experiments are provided as a csv file.",GPL24676,"Majlinda,,Lako",Institute of Genetic Medicine and Institute for Ageing,Newcastle University,"International Centre for Life, Central Parkway",Newcastle Upon Tyne,NE1 3 BZ,United Kingdom,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15729609 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8884958,NONE,GSE155683,0
7,GSM4710457,RNA-Seq Dev Cor/Conj 13PCW 15205,GSM4710457,Public on Apr 19 2021,Aug 04 2020,Apr 19 2021,SRA,1,Cornea/Conjunctiva,Homo sapiens,9606,developmental stage: 13 PCW,polyA RNA,"Cornea-conjunctival tissue was excised from donated eyes and dissociated to single cells using a multi tissue dissociation kit (Miltenyi Biotec). Dissociation time varied from 15 to 45 minutes depending on the age of the tissue and a gentleMACS Dissociator (Miltenyi Biotec) was used to aid dissociation of the adult tissue. | For scRNA-Seq libraries were generated using the Chromium Single Cell 3′ Library & Gel Bead Kit, version 3 (10x Genomics). For scATAC-Seq libraries were generated using the Chromium Single Cell ATAC Library & Gel Bead Kit, version 1 (10x Genomics). | RNA-Seq & ATAC-Seq",Dev Cor/Conj 13PCW 15205 | counts_13PCW.txt,"scRNAseq samples were de-multiplexed and aligned to human reference genome GRCh38 before being quantified using CellRanger version 3.0 | Quality control filtering was applied to remove any cells where fewer than 1000 reads or 500 genes or greater than 15% mitochondrial reads. | CellRanger version 1.2  was used to process the ATACseq data.  Cellranger-atac agrr module was used to create a set of shared peaks present across all four samples. | data was filtered using thresholds to remove cells where the number of fragments within peaks was less than 1000 or greater than 50000 | or with a blacklist ration of greater than 5% or a nucleosome signal of greater than 10 and a TTS enrichment of  , greater than 2 | Genome_build: GRCh38 | Supplementary_files_format_and_content: The filtered counts from both experiments are provided as a csv file.",GPL24676,"Majlinda,,Lako",Institute of Genetic Medicine and Institute for Ageing,Newcastle University,"International Centre for Life, Central Parkway",Newcastle Upon Tyne,NE1 3 BZ,United Kingdom,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15729608 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8884959,NONE,GSE155683,0
8,GSM4710458,RNA-Seq Dev Cor/Conj 14PCW 15208,GSM4710458,Public on Apr 19 2021,Aug 04 2020,Apr 19 2021,SRA,1,Cornea/Conjunctiva,Homo sapiens,9606,developmental stage: 14 PCW,polyA RNA,"Cornea-conjunctival tissue was excised from donated eyes and dissociated to single cells using a multi tissue dissociation kit (Miltenyi Biotec). Dissociation time varied from 15 to 45 minutes depending on the age of the tissue and a gentleMACS Dissociator (Miltenyi Biotec) was used to aid dissociation of the adult tissue. | For scRNA-Seq libraries were generated using the Chromium Single Cell 3′ Library & Gel Bead Kit, version 3 (10x Genomics). For scATAC-Seq libraries were generated using the Chromium Single Cell ATAC Library & Gel Bead Kit, version 1 (10x Genomics). | RNA-Seq & ATAC-Seq",Dev Cor/Conj 14PCW 15208 | counts_14PCW.txt,"scRNAseq samples were de-multiplexed and aligned to human reference genome GRCh38 before being quantified using CellRanger version 3.0 | Quality control filtering was applied to remove any cells where fewer than 1000 reads or 500 genes or greater than 15% mitochondrial reads. | CellRanger version 1.2  was used to process the ATACseq data.  Cellranger-atac agrr module was used to create a set of shared peaks present across all four samples. | data was filtered using thresholds to remove cells where the number of fragments within peaks was less than 1000 or greater than 50000 | or with a blacklist ration of greater than 5% or a nucleosome signal of greater than 10 and a TTS enrichment of  , greater than 2 | Genome_build: GRCh38 | Supplementary_files_format_and_content: The filtered counts from both experiments are provided as a csv file.",GPL24676,"Majlinda,,Lako",Institute of Genetic Medicine and Institute for Ageing,Newcastle University,"International Centre for Life, Central Parkway",Newcastle Upon Tyne,NE1 3 BZ,United Kingdom,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15729607 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8884960,NONE,GSE155683,0
9,GSM4710459,RNA-Seq Dev Cor/Conj 14PCW 15357,GSM4710459,Public on Apr 19 2021,Aug 04 2020,Apr 19 2021,SRA,1,Cornea/Conjunctiva,Homo sapiens,9606,developmental stage: 14 PCW,polyA RNA,"Cornea-conjunctival tissue was excised from donated eyes and dissociated to single cells using a multi tissue dissociation kit (Miltenyi Biotec). Dissociation time varied from 15 to 45 minutes depending on the age of the tissue and a gentleMACS Dissociator (Miltenyi Biotec) was used to aid dissociation of the adult tissue. | For scRNA-Seq libraries were generated using the Chromium Single Cell 3′ Library & Gel Bead Kit, version 3 (10x Genomics). For scATAC-Seq libraries were generated using the Chromium Single Cell ATAC Library & Gel Bead Kit, version 1 (10x Genomics). | RNA-Seq & ATAC-Seq",Dev Cor/Conj 14PCW 15357 | counts_14PCW.txt,"scRNAseq samples were de-multiplexed and aligned to human reference genome GRCh38 before being quantified using CellRanger version 3.0 | Quality control filtering was applied to remove any cells where fewer than 1000 reads or 500 genes or greater than 15% mitochondrial reads. | CellRanger version 1.2  was used to process the ATACseq data.  Cellranger-atac agrr module was used to create a set of shared peaks present across all four samples. | data was filtered using thresholds to remove cells where the number of fragments within peaks was less than 1000 or greater than 50000 | or with a blacklist ration of greater than 5% or a nucleosome signal of greater than 10 and a TTS enrichment of  , greater than 2 | Genome_build: GRCh38 | Supplementary_files_format_and_content: The filtered counts from both experiments are provided as a csv file.",GPL24676,"Majlinda,,Lako",Institute of Genetic Medicine and Institute for Ageing,Newcastle University,"International Centre for Life, Central Parkway",Newcastle Upon Tyne,NE1 3 BZ,United Kingdom,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15729606 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8884961,NONE,GSE155683,0
10,GSM4710460,RNA-Seq Dev Cor/Conj 16PCW 15057,GSM4710460,Public on Apr 19 2021,Aug 04 2020,Apr 19 2021,SRA,1,Cornea/Conjunctiva,Homo sapiens,9606,developmental stage: 16 PCW,polyA RNA,"Cornea-conjunctival tissue was excised from donated eyes and dissociated to single cells using a multi tissue dissociation kit (Miltenyi Biotec). Dissociation time varied from 15 to 45 minutes depending on the age of the tissue and a gentleMACS Dissociator (Miltenyi Biotec) was used to aid dissociation of the adult tissue. | For scRNA-Seq libraries were generated using the Chromium Single Cell 3′ Library & Gel Bead Kit, version 3 (10x Genomics). For scATAC-Seq libraries were generated using the Chromium Single Cell ATAC Library & Gel Bead Kit, version 1 (10x Genomics). | RNA-Seq & ATAC-Seq",Dev Cor/Conj 16PCW 15057 | counts_16PCW.txt,"scRNAseq samples were de-multiplexed and aligned to human reference genome GRCh38 before being quantified using CellRanger version 3.0 | Quality control filtering was applied to remove any cells where fewer than 1000 reads or 500 genes or greater than 15% mitochondrial reads. | CellRanger version 1.2  was used to process the ATACseq data.  Cellranger-atac agrr module was used to create a set of shared peaks present across all four samples. | data was filtered using thresholds to remove cells where the number of fragments within peaks was less than 1000 or greater than 50000 | or with a blacklist ration of greater than 5% or a nucleosome signal of greater than 10 and a TTS enrichment of  , greater than 2 | Genome_build: GRCh38 | Supplementary_files_format_and_content: The filtered counts from both experiments are provided as a csv file.",GPL24676,"Majlinda,,Lako",Institute of Genetic Medicine and Institute for Ageing,Newcastle University,"International Centre for Life, Central Parkway",Newcastle Upon Tyne,NE1 3 BZ,United Kingdom,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15729605 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8884962,NONE,GSE155683,0
11,GSM4710461,RNA-Seq Dev Cor/Conj 16PCW 15232,GSM4710461,Public on Apr 19 2021,Aug 04 2020,Apr 19 2021,SRA,1,Cornea/Conjunctiva,Homo sapiens,9606,developmental stage: 16 PCW,polyA RNA,"Cornea-conjunctival tissue was excised from donated eyes and dissociated to single cells using a multi tissue dissociation kit (Miltenyi Biotec). Dissociation time varied from 15 to 45 minutes depending on the age of the tissue and a gentleMACS Dissociator (Miltenyi Biotec) was used to aid dissociation of the adult tissue. | For scRNA-Seq libraries were generated using the Chromium Single Cell 3′ Library & Gel Bead Kit, version 3 (10x Genomics). For scATAC-Seq libraries were generated using the Chromium Single Cell ATAC Library & Gel Bead Kit, version 1 (10x Genomics). | RNA-Seq & ATAC-Seq",Dev Cor/Conj 16PCW 15232 | counts_16PCW.txt,"scRNAseq samples were de-multiplexed and aligned to human reference genome GRCh38 before being quantified using CellRanger version 3.0 | Quality control filtering was applied to remove any cells where fewer than 1000 reads or 500 genes or greater than 15% mitochondrial reads. | CellRanger version 1.2  was used to process the ATACseq data.  Cellranger-atac agrr module was used to create a set of shared peaks present across all four samples. | data was filtered using thresholds to remove cells where the number of fragments within peaks was less than 1000 or greater than 50000 | or with a blacklist ration of greater than 5% or a nucleosome signal of greater than 10 and a TTS enrichment of  , greater than 2 | Genome_build: GRCh38 | Supplementary_files_format_and_content: The filtered counts from both experiments are provided as a csv file.",GPL24676,"Majlinda,,Lako",Institute of Genetic Medicine and Institute for Ageing,Newcastle University,"International Centre for Life, Central Parkway",Newcastle Upon Tyne,NE1 3 BZ,United Kingdom,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15729604 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8884963,NONE,GSE155683,0
12,GSM4710462,RNA-Seq Dev Cor/Conj 17PCW 14613,GSM4710462,Public on Apr 19 2021,Aug 04 2020,Apr 19 2021,SRA,1,Cornea/Conjunctiva,Homo sapiens,9606,developmental stage: 17 PCW,polyA RNA,"Cornea-conjunctival tissue was excised from donated eyes and dissociated to single cells using a multi tissue dissociation kit (Miltenyi Biotec). Dissociation time varied from 15 to 45 minutes depending on the age of the tissue and a gentleMACS Dissociator (Miltenyi Biotec) was used to aid dissociation of the adult tissue. | For scRNA-Seq libraries were generated using the Chromium Single Cell 3′ Library & Gel Bead Kit, version 3 (10x Genomics). For scATAC-Seq libraries were generated using the Chromium Single Cell ATAC Library & Gel Bead Kit, version 1 (10x Genomics). | RNA-Seq & ATAC-Seq",Dev Cor/Conj 17PCW 14613 | counts_17_18PCW.txt,"scRNAseq samples were de-multiplexed and aligned to human reference genome GRCh38 before being quantified using CellRanger version 3.0 | Quality control filtering was applied to remove any cells where fewer than 1000 reads or 500 genes or greater than 15% mitochondrial reads. | CellRanger version 1.2  was used to process the ATACseq data.  Cellranger-atac agrr module was used to create a set of shared peaks present across all four samples. | data was filtered using thresholds to remove cells where the number of fragments within peaks was less than 1000 or greater than 50000 | or with a blacklist ration of greater than 5% or a nucleosome signal of greater than 10 and a TTS enrichment of  , greater than 2 | Genome_build: GRCh38 | Supplementary_files_format_and_content: The filtered counts from both experiments are provided as a csv file.",GPL24676,"Majlinda,,Lako",Institute of Genetic Medicine and Institute for Ageing,Newcastle University,"International Centre for Life, Central Parkway",Newcastle Upon Tyne,NE1 3 BZ,United Kingdom,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15729603 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8884964,NONE,GSE155683,0
13,GSM4710463,RNA-Seq Dev Cor/Conj 18PCW 14954,GSM4710463,Public on Apr 19 2021,Aug 04 2020,Apr 19 2021,SRA,1,Cornea/Conjunctiva,Homo sapiens,9606,developmental stage: 18 PCW,polyA RNA,"Cornea-conjunctival tissue was excised from donated eyes and dissociated to single cells using a multi tissue dissociation kit (Miltenyi Biotec). Dissociation time varied from 15 to 45 minutes depending on the age of the tissue and a gentleMACS Dissociator (Miltenyi Biotec) was used to aid dissociation of the adult tissue. | For scRNA-Seq libraries were generated using the Chromium Single Cell 3′ Library & Gel Bead Kit, version 3 (10x Genomics). For scATAC-Seq libraries were generated using the Chromium Single Cell ATAC Library & Gel Bead Kit, version 1 (10x Genomics). | RNA-Seq & ATAC-Seq",Dev Cor/Conj 18PCW 14954 | counts_17_18PCW.txt,"scRNAseq samples were de-multiplexed and aligned to human reference genome GRCh38 before being quantified using CellRanger version 3.0 | Quality control filtering was applied to remove any cells where fewer than 1000 reads or 500 genes or greater than 15% mitochondrial reads. | CellRanger version 1.2  was used to process the ATACseq data.  Cellranger-atac agrr module was used to create a set of shared peaks present across all four samples. | data was filtered using thresholds to remove cells where the number of fragments within peaks was less than 1000 or greater than 50000 | or with a blacklist ration of greater than 5% or a nucleosome signal of greater than 10 and a TTS enrichment of  , greater than 2 | Genome_build: GRCh38 | Supplementary_files_format_and_content: The filtered counts from both experiments are provided as a csv file.",GPL24676,"Majlinda,,Lako",Institute of Genetic Medicine and Institute for Ageing,Newcastle University,"International Centre for Life, Central Parkway",Newcastle Upon Tyne,NE1 3 BZ,United Kingdom,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15729602 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8884965,NONE,GSE155683,0
14,GSM4710464,RNA-Seq Dev Cor/Conj 20PCW 14556,GSM4710464,Public on Apr 19 2021,Aug 04 2020,Apr 19 2021,SRA,1,Cornea/Conjunctiva,Homo sapiens,9606,developmental stage: 20 PCW,polyA RNA,"Cornea-conjunctival tissue was excised from donated eyes and dissociated to single cells using a multi tissue dissociation kit (Miltenyi Biotec). Dissociation time varied from 15 to 45 minutes depending on the age of the tissue and a gentleMACS Dissociator (Miltenyi Biotec) was used to aid dissociation of the adult tissue. | For scRNA-Seq libraries were generated using the Chromium Single Cell 3′ Library & Gel Bead Kit, version 3 (10x Genomics). For scATAC-Seq libraries were generated using the Chromium Single Cell ATAC Library & Gel Bead Kit, version 1 (10x Genomics). | RNA-Seq & ATAC-Seq",Dev Cor/Conj 20PCW 14556 | counts_20_21PCW.txt,"scRNAseq samples were de-multiplexed and aligned to human reference genome GRCh38 before being quantified using CellRanger version 3.0 | Quality control filtering was applied to remove any cells where fewer than 1000 reads or 500 genes or greater than 15% mitochondrial reads. | CellRanger version 1.2  was used to process the ATACseq data.  Cellranger-atac agrr module was used to create a set of shared peaks present across all four samples. | data was filtered using thresholds to remove cells where the number of fragments within peaks was less than 1000 or greater than 50000 | or with a blacklist ration of greater than 5% or a nucleosome signal of greater than 10 and a TTS enrichment of  , greater than 2 | Genome_build: GRCh38 | Supplementary_files_format_and_content: The filtered counts from both experiments are provided as a csv file.",GPL24676,"Majlinda,,Lako",Institute of Genetic Medicine and Institute for Ageing,Newcastle University,"International Centre for Life, Central Parkway",Newcastle Upon Tyne,NE1 3 BZ,United Kingdom,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15729601 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8884966,NONE,GSE155683,0
