,Source Name,Comment[ENA_SAMPLE],Comment[BioSD_SAMPLE],Characteristics[organism],Characteristics[embryo stage],Characteristics[developmental stage],Characteristics[sex],Characteristics[disease],Characteristics[individual],Characteristics[organism part],Characteristics[fraction],Material Type,Protocol REF,Protocol REF.1,Protocol REF.2,Extract Name,Comment[LIBRARY_LAYOUT],Comment[LIBRARY_SELECTION],Comment[LIBRARY_SOURCE],Comment[LIBRARY_STRAND],Comment[LIBRARY_STRATEGY],Comment[ORIENTATION],Comment[cdna read],Comment[cdna read offset],Comment[cdna read size],Comment[cell barcode offset],Comment[cell barcode read],Comment[cell barcode size],Comment[end bias],Comment[input molecule],Comment[library construction],Comment[primer],Comment[sample barcode offset],Comment[sample barcode read],Comment[sample barcode size],Comment[single cell isolation],Comment[spike in],Comment[umi barcode offset],Comment[umi barcode read],Comment[umi barcode size],Protocol REF.3,Performer,Assay Name,Technology Type,Comment[ENA_EXPERIMENT],Scan Name,Comment[SUBMITTED_FILE_NAME],Comment[ENA_RUN],Comment[FASTQ_URI],Comment[read_type],Comment[read_index],Protocol REF.4,Protocol REF.5,Derived Array Data File,Derived Array Data File.1,Protocol REF.6,Protocol REF.7,Derived Array Data File.2,Derived Array Data File.3,Protocol REF.8,Protocol REF.9,Derived Array Data File.4,Derived Array Data File.5,Factor Value[organism part],Factor Value[fraction]
0,WS_wEMB10202336,ERS10855315,SAMEA13252264,Homo sapiens,carnegie stage 16,embryo stage,female,normal,F137,lower vertebrae,section one,cell,P-MTAB-119352,P-MTAB-119353,P-MTAB-119354,WS_wEMB10202336,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read 2,0,91,0,read 1,16,5 prime tag,polyA RNA,10xV3,oligo-dT,0,index 1,8,10x,none,16,read 1,12,P-MTAB-119355,Sanger Institute,WS_wEMB10202336,sequencing assay,ERX8577991,WS_wEMB10202336_S1_L001_I1_001.fastq.gz,WS_wEMB10202336_S1_L001_I1_001.fastq.gz,ERR9034727,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9034727/WS_wEMB10202336_S1_L001_I1_001.fastq.gz,sample_barcode,index1,P-MTAB-119356,P-MTAB-119357,F137_cellranger_features_for_all_lanes.tsv.gz,F137_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_barcodes_for_all_lanes.tsv.gz,F137_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_count_matrix_for_all_lanes.mtx.gz,F137_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,lower vertebrae,section one
1,WS_wEMB10202336,ERS10855315,SAMEA13252264,Homo sapiens,carnegie stage 16,embryo stage,female,normal,F137,lower vertebrae,section one,cell,P-MTAB-119352,P-MTAB-119353,P-MTAB-119354,WS_wEMB10202336,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read 2,0,91,0,read 1,16,5 prime tag,polyA RNA,10xV3,oligo-dT,0,index 1,8,10x,none,16,read 1,12,P-MTAB-119355,Sanger Institute,WS_wEMB10202336,sequencing assay,ERX8577991,WS_wEMB10202336_S1_L001_R1_001.fastq.gz,WS_wEMB10202336_S1_L001_R1_001.fastq.gz,ERR9034727,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9034727/WS_wEMB10202336_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,P-MTAB-119356,P-MTAB-119357,F137_cellranger_features_for_all_lanes.tsv.gz,F137_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_barcodes_for_all_lanes.tsv.gz,F137_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_count_matrix_for_all_lanes.mtx.gz,F137_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,lower vertebrae,section one
2,WS_wEMB10202336,ERS10855315,SAMEA13252264,Homo sapiens,carnegie stage 16,embryo stage,female,normal,F137,lower vertebrae,section one,cell,P-MTAB-119352,P-MTAB-119353,P-MTAB-119354,WS_wEMB10202336,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read 2,0,91,0,read 1,16,5 prime tag,polyA RNA,10xV3,oligo-dT,0,index 1,8,10x,none,16,read 1,12,P-MTAB-119355,Sanger Institute,WS_wEMB10202336,sequencing assay,ERX8577991,WS_wEMB10202336_S1_L001_R2_001.fastq.gz,WS_wEMB10202336_S1_L001_R2_001.fastq.gz,ERR9034727,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9034727/WS_wEMB10202336_S1_L001_R2_001.fastq.gz,single,read2,P-MTAB-119356,P-MTAB-119357,F137_cellranger_features_for_all_lanes.tsv.gz,F137_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_barcodes_for_all_lanes.tsv.gz,F137_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_count_matrix_for_all_lanes.mtx.gz,F137_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,lower vertebrae,section one
3,WS_wEMB10202337,ERS10855316,SAMEA13252265,Homo sapiens,carnegie stage 16,embryo stage,female,normal,F137,lower vertebrae; yolk sac stalk,section two,cell,P-MTAB-119352,P-MTAB-119353,P-MTAB-119354,WS_wEMB10202337,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read 2,0,91,0,read 1,16,5 prime tag,polyA RNA,10xV3,oligo-dT,0,index 1,8,10x,none,16,read 1,12,P-MTAB-119355,Sanger Institute,WS_wEMB10202337,sequencing assay,ERX8577992,WS_wEMB10202337_S1_L001_I1_001.fastq.gz,WS_wEMB10202337_S1_L001_I1_001.fastq.gz,ERR9034728,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9034728/WS_wEMB10202337_S1_L001_I1_001.fastq.gz,sample_barcode,index1,P-MTAB-119356,P-MTAB-119357,F137_cellranger_features_for_all_lanes.tsv.gz,F137_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_barcodes_for_all_lanes.tsv.gz,F137_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_count_matrix_for_all_lanes.mtx.gz,F137_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,lower vertebrae; yolk sac stalk,section two
4,WS_wEMB10202337,ERS10855316,SAMEA13252265,Homo sapiens,carnegie stage 16,embryo stage,female,normal,F137,lower vertebrae; yolk sac stalk,section two,cell,P-MTAB-119352,P-MTAB-119353,P-MTAB-119354,WS_wEMB10202337,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read 2,0,91,0,read 1,16,5 prime tag,polyA RNA,10xV3,oligo-dT,0,index 1,8,10x,none,16,read 1,12,P-MTAB-119355,Sanger Institute,WS_wEMB10202337,sequencing assay,ERX8577992,WS_wEMB10202337_S1_L001_R1_001.fastq.gz,WS_wEMB10202337_S1_L001_R1_001.fastq.gz,ERR9034728,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9034728/WS_wEMB10202337_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,P-MTAB-119356,P-MTAB-119357,F137_cellranger_features_for_all_lanes.tsv.gz,F137_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_barcodes_for_all_lanes.tsv.gz,F137_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_count_matrix_for_all_lanes.mtx.gz,F137_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,lower vertebrae; yolk sac stalk,section two
5,WS_wEMB10202337,ERS10855316,SAMEA13252265,Homo sapiens,carnegie stage 16,embryo stage,female,normal,F137,lower vertebrae; yolk sac stalk,section two,cell,P-MTAB-119352,P-MTAB-119353,P-MTAB-119354,WS_wEMB10202337,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read 2,0,91,0,read 1,16,5 prime tag,polyA RNA,10xV3,oligo-dT,0,index 1,8,10x,none,16,read 1,12,P-MTAB-119355,Sanger Institute,WS_wEMB10202337,sequencing assay,ERX8577992,WS_wEMB10202337_S1_L001_R2_001.fastq.gz,WS_wEMB10202337_S1_L001_R2_001.fastq.gz,ERR9034728,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9034728/WS_wEMB10202337_S1_L001_R2_001.fastq.gz,single,read2,P-MTAB-119356,P-MTAB-119357,F137_cellranger_features_for_all_lanes.tsv.gz,F137_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_barcodes_for_all_lanes.tsv.gz,F137_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_count_matrix_for_all_lanes.mtx.gz,F137_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,lower vertebrae; yolk sac stalk,section two
6,WS_wEMB10202338,ERS10855317,SAMEA13252266,Homo sapiens,carnegie stage 16,embryo stage,female,normal,F137,lower vertebrae; yolk sac stalk,section two,cell,P-MTAB-119352,P-MTAB-119353,P-MTAB-119354,WS_wEMB10202338,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read 2,0,91,0,read 1,16,5 prime tag,polyA RNA,10xV3,oligo-dT,0,index 1,8,10x,none,16,read 1,12,P-MTAB-119355,Sanger Institute,WS_wEMB10202338,sequencing assay,ERX8577993,WS_wEMB10202338_S1_L001_I1_001.fastq.gz,WS_wEMB10202338_S1_L001_I1_001.fastq.gz,ERR9034729,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9034729/WS_wEMB10202338_S1_L001_I1_001.fastq.gz,sample_barcode,index1,P-MTAB-119356,P-MTAB-119357,F137_cellranger_features_for_all_lanes.tsv.gz,F137_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_barcodes_for_all_lanes.tsv.gz,F137_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_count_matrix_for_all_lanes.mtx.gz,F137_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,lower vertebrae; yolk sac stalk,section two
7,WS_wEMB10202338,ERS10855317,SAMEA13252266,Homo sapiens,carnegie stage 16,embryo stage,female,normal,F137,lower vertebrae; yolk sac stalk,section two,cell,P-MTAB-119352,P-MTAB-119353,P-MTAB-119354,WS_wEMB10202338,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read 2,0,91,0,read 1,16,5 prime tag,polyA RNA,10xV3,oligo-dT,0,index 1,8,10x,none,16,read 1,12,P-MTAB-119355,Sanger Institute,WS_wEMB10202338,sequencing assay,ERX8577993,WS_wEMB10202338_S1_L001_R1_001.fastq.gz,WS_wEMB10202338_S1_L001_R1_001.fastq.gz,ERR9034729,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9034729/WS_wEMB10202338_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,P-MTAB-119356,P-MTAB-119357,F137_cellranger_features_for_all_lanes.tsv.gz,F137_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_barcodes_for_all_lanes.tsv.gz,F137_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_count_matrix_for_all_lanes.mtx.gz,F137_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,lower vertebrae; yolk sac stalk,section two
8,WS_wEMB10202338,ERS10855317,SAMEA13252266,Homo sapiens,carnegie stage 16,embryo stage,female,normal,F137,lower vertebrae; yolk sac stalk,section two,cell,P-MTAB-119352,P-MTAB-119353,P-MTAB-119354,WS_wEMB10202338,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read 2,0,91,0,read 1,16,5 prime tag,polyA RNA,10xV3,oligo-dT,0,index 1,8,10x,none,16,read 1,12,P-MTAB-119355,Sanger Institute,WS_wEMB10202338,sequencing assay,ERX8577993,WS_wEMB10202338_S1_L001_R2_001.fastq.gz,WS_wEMB10202338_S1_L001_R2_001.fastq.gz,ERR9034729,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9034729/WS_wEMB10202338_S1_L001_R2_001.fastq.gz,single,read2,P-MTAB-119356,P-MTAB-119357,F137_cellranger_features_for_all_lanes.tsv.gz,F137_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_barcodes_for_all_lanes.tsv.gz,F137_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_count_matrix_for_all_lanes.mtx.gz,F137_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,lower vertebrae; yolk sac stalk,section two
9,WS_wEMB10202339,ERS10855318,SAMEA13252267,Homo sapiens,carnegie stage 16,embryo stage,female,normal,F137,lower vertebrae; yolk sac stalk,section two,cell,P-MTAB-119352,P-MTAB-119353,P-MTAB-119354,WS_wEMB10202339,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read 2,0,91,0,read 1,16,5 prime tag,polyA RNA,10xV3,oligo-dT,0,index 1,8,10x,none,16,read 1,12,P-MTAB-119355,Sanger Institute,WS_wEMB10202339,sequencing assay,ERX8577994,WS_wEMB10202339_S1_L001_I1_001.fastq.gz,WS_wEMB10202339_S1_L001_I1_001.fastq.gz,ERR9034730,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9034730/WS_wEMB10202339_S1_L001_I1_001.fastq.gz,sample_barcode,index1,P-MTAB-119356,P-MTAB-119357,F137_cellranger_features_for_all_lanes.tsv.gz,F137_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_barcodes_for_all_lanes.tsv.gz,F137_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_count_matrix_for_all_lanes.mtx.gz,F137_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,lower vertebrae; yolk sac stalk,section two
10,WS_wEMB10202339,ERS10855318,SAMEA13252267,Homo sapiens,carnegie stage 16,embryo stage,female,normal,F137,lower vertebrae; yolk sac stalk,section two,cell,P-MTAB-119352,P-MTAB-119353,P-MTAB-119354,WS_wEMB10202339,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read 2,0,91,0,read 1,16,5 prime tag,polyA RNA,10xV3,oligo-dT,0,index 1,8,10x,none,16,read 1,12,P-MTAB-119355,Sanger Institute,WS_wEMB10202339,sequencing assay,ERX8577994,WS_wEMB10202339_S1_L001_R1_001.fastq.gz,WS_wEMB10202339_S1_L001_R1_001.fastq.gz,ERR9034730,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9034730/WS_wEMB10202339_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,P-MTAB-119356,P-MTAB-119357,F137_cellranger_features_for_all_lanes.tsv.gz,F137_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_barcodes_for_all_lanes.tsv.gz,F137_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_count_matrix_for_all_lanes.mtx.gz,F137_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,lower vertebrae; yolk sac stalk,section two
11,WS_wEMB10202339,ERS10855318,SAMEA13252267,Homo sapiens,carnegie stage 16,embryo stage,female,normal,F137,lower vertebrae; yolk sac stalk,section two,cell,P-MTAB-119352,P-MTAB-119353,P-MTAB-119354,WS_wEMB10202339,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read 2,0,91,0,read 1,16,5 prime tag,polyA RNA,10xV3,oligo-dT,0,index 1,8,10x,none,16,read 1,12,P-MTAB-119355,Sanger Institute,WS_wEMB10202339,sequencing assay,ERX8577994,WS_wEMB10202339_S1_L001_R2_001.fastq.gz,WS_wEMB10202339_S1_L001_R2_001.fastq.gz,ERR9034730,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9034730/WS_wEMB10202339_S1_L001_R2_001.fastq.gz,single,read2,P-MTAB-119356,P-MTAB-119357,F137_cellranger_features_for_all_lanes.tsv.gz,F137_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_barcodes_for_all_lanes.tsv.gz,F137_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_count_matrix_for_all_lanes.mtx.gz,F137_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,lower vertebrae; yolk sac stalk,section two
12,WS_wEMB10202340,ERS10855319,SAMEA13252268,Homo sapiens,carnegie stage 16,embryo stage,female,normal,F137,lower vertebrae; yolk sac stalk,section two,cell,P-MTAB-119352,P-MTAB-119353,P-MTAB-119354,WS_wEMB10202340,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read 2,0,91,0,read 1,16,5 prime tag,polyA RNA,10xV3,oligo-dT,0,index 1,8,10x,none,16,read 1,12,P-MTAB-119355,Sanger Institute,WS_wEMB10202340,sequencing assay,ERX8577995,WS_wEMB10202340_S1_L001_I1_001.fastq.gz,WS_wEMB10202340_S1_L001_I1_001.fastq.gz,ERR9034731,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9034731/WS_wEMB10202340_S1_L001_I1_001.fastq.gz,sample_barcode,index1,P-MTAB-119356,P-MTAB-119357,F137_cellranger_features_for_all_lanes.tsv.gz,F137_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_barcodes_for_all_lanes.tsv.gz,F137_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_count_matrix_for_all_lanes.mtx.gz,F137_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,lower vertebrae; yolk sac stalk,section two
13,WS_wEMB10202340,ERS10855319,SAMEA13252268,Homo sapiens,carnegie stage 16,embryo stage,female,normal,F137,lower vertebrae; yolk sac stalk,section two,cell,P-MTAB-119352,P-MTAB-119353,P-MTAB-119354,WS_wEMB10202340,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read 2,0,91,0,read 1,16,5 prime tag,polyA RNA,10xV3,oligo-dT,0,index 1,8,10x,none,16,read 1,12,P-MTAB-119355,Sanger Institute,WS_wEMB10202340,sequencing assay,ERX8577995,WS_wEMB10202340_S1_L001_R1_001.fastq.gz,WS_wEMB10202340_S1_L001_R1_001.fastq.gz,ERR9034731,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9034731/WS_wEMB10202340_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,P-MTAB-119356,P-MTAB-119357,F137_cellranger_features_for_all_lanes.tsv.gz,F137_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_barcodes_for_all_lanes.tsv.gz,F137_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_count_matrix_for_all_lanes.mtx.gz,F137_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,lower vertebrae; yolk sac stalk,section two
14,WS_wEMB10202340,ERS10855319,SAMEA13252268,Homo sapiens,carnegie stage 16,embryo stage,female,normal,F137,lower vertebrae; yolk sac stalk,section two,cell,P-MTAB-119352,P-MTAB-119353,P-MTAB-119354,WS_wEMB10202340,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read 2,0,91,0,read 1,16,5 prime tag,polyA RNA,10xV3,oligo-dT,0,index 1,8,10x,none,16,read 1,12,P-MTAB-119355,Sanger Institute,WS_wEMB10202340,sequencing assay,ERX8577995,WS_wEMB10202340_S1_L001_R2_001.fastq.gz,WS_wEMB10202340_S1_L001_R2_001.fastq.gz,ERR9034731,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9034731/WS_wEMB10202340_S1_L001_R2_001.fastq.gz,single,read2,P-MTAB-119356,P-MTAB-119357,F137_cellranger_features_for_all_lanes.tsv.gz,F137_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_barcodes_for_all_lanes.tsv.gz,F137_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_count_matrix_for_all_lanes.mtx.gz,F137_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,lower vertebrae; yolk sac stalk,section two
15,WS_wEMB10202341,ERS10855320,SAMEA13252269,Homo sapiens,carnegie stage 16,embryo stage,female,normal,F137,mid-low vertebrae,section three,cell,P-MTAB-119352,P-MTAB-119353,P-MTAB-119354,WS_wEMB10202341,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read 2,0,91,0,read 1,16,5 prime tag,polyA RNA,10xV3,oligo-dT,0,index 1,8,10x,none,16,read 1,12,P-MTAB-119355,Sanger Institute,WS_wEMB10202341,sequencing assay,ERX8577996,WS_wEMB10202341_S1_L001_I1_001.fastq.gz,WS_wEMB10202341_S1_L001_I1_001.fastq.gz,ERR9034732,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9034732/WS_wEMB10202341_S1_L001_I1_001.fastq.gz,sample_barcode,index1,P-MTAB-119356,P-MTAB-119357,F137_cellranger_features_for_all_lanes.tsv.gz,F137_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_barcodes_for_all_lanes.tsv.gz,F137_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_count_matrix_for_all_lanes.mtx.gz,F137_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,mid-low vertebrae,section three
16,WS_wEMB10202341,ERS10855320,SAMEA13252269,Homo sapiens,carnegie stage 16,embryo stage,female,normal,F137,mid-low vertebrae,section three,cell,P-MTAB-119352,P-MTAB-119353,P-MTAB-119354,WS_wEMB10202341,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read 2,0,91,0,read 1,16,5 prime tag,polyA RNA,10xV3,oligo-dT,0,index 1,8,10x,none,16,read 1,12,P-MTAB-119355,Sanger Institute,WS_wEMB10202341,sequencing assay,ERX8577996,WS_wEMB10202341_S1_L001_R1_001.fastq.gz,WS_wEMB10202341_S1_L001_R1_001.fastq.gz,ERR9034732,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9034732/WS_wEMB10202341_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,P-MTAB-119356,P-MTAB-119357,F137_cellranger_features_for_all_lanes.tsv.gz,F137_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_barcodes_for_all_lanes.tsv.gz,F137_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_count_matrix_for_all_lanes.mtx.gz,F137_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,mid-low vertebrae,section three
17,WS_wEMB10202341,ERS10855320,SAMEA13252269,Homo sapiens,carnegie stage 16,embryo stage,female,normal,F137,mid-low vertebrae,section three,cell,P-MTAB-119352,P-MTAB-119353,P-MTAB-119354,WS_wEMB10202341,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read 2,0,91,0,read 1,16,5 prime tag,polyA RNA,10xV3,oligo-dT,0,index 1,8,10x,none,16,read 1,12,P-MTAB-119355,Sanger Institute,WS_wEMB10202341,sequencing assay,ERX8577996,WS_wEMB10202341_S1_L001_R2_001.fastq.gz,WS_wEMB10202341_S1_L001_R2_001.fastq.gz,ERR9034732,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9034732/WS_wEMB10202341_S1_L001_R2_001.fastq.gz,single,read2,P-MTAB-119356,P-MTAB-119357,F137_cellranger_features_for_all_lanes.tsv.gz,F137_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_barcodes_for_all_lanes.tsv.gz,F137_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_count_matrix_for_all_lanes.mtx.gz,F137_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,mid-low vertebrae,section three
18,WS_wEMB10202342,ERS10855321,SAMEA13252270,Homo sapiens,carnegie stage 16,embryo stage,female,normal,F137,mid-low vertebrae,section three,cell,P-MTAB-119352,P-MTAB-119353,P-MTAB-119354,WS_wEMB10202342,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read 2,0,91,0,read 1,16,5 prime tag,polyA RNA,10xV3,oligo-dT,0,index 1,8,10x,none,16,read 1,12,P-MTAB-119355,Sanger Institute,WS_wEMB10202342,sequencing assay,ERX8577997,WS_wEMB10202342_S1_L001_I1_001.fastq.gz,WS_wEMB10202342_S1_L001_I1_001.fastq.gz,ERR9034733,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9034733/WS_wEMB10202342_S1_L001_I1_001.fastq.gz,sample_barcode,index1,P-MTAB-119356,P-MTAB-119357,F137_cellranger_features_for_all_lanes.tsv.gz,F137_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_barcodes_for_all_lanes.tsv.gz,F137_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119356,P-MTAB-119357,F137_cellranger_count_matrix_for_all_lanes.mtx.gz,F137_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,mid-low vertebrae,section three
